0 , Q0 , AP881231-0001 1 0.0000, run_name
0 , Q0 , AP881231-0002 2 0.0000, run_name
0 , Q0 , AP881231-0003 3 0.0000, run_name
0 , Q0 , AP881231-0004 4 0.0000, run_name
0 , Q0 , AP881231-0005 5 0.0000, run_name
0 , Q0 , AP881231-0006 6 0.0000, run_name
0 , Q0 , AP881231-0007 7 0.0000, run_name
0 , Q0 , AP881231-0008 8 0.0000, run_name
0 , Q0 , AP881231-0009 9 0.0000, run_name
0 , Q0 , AP881231-0010 10 0.0000, run_name
0 , Q0 , AP881231-0011 11 0.0000, run_name
0 , Q0 , AP881231-0012 12 0.0000, run_name
0 , Q0 , AP881231-0013 13 0.0000, run_name
0 , Q0 , AP881231-0014 14 0.0000, run_name
0 , Q0 , AP881231-0015 15 0.0000, run_name
0 , Q0 , AP881231-0016 16 0.0000, run_name
0 , Q0 , AP881231-0017 17 0.0000, run_name
0 , Q0 , AP881231-0018 18 0.0000, run_name
0 , Q0 , AP881231-0019 19 0.0000, run_name
0 , Q0 , AP881231-0020 20 0.0000, run_name
0 , Q0 , AP881231-0021 21 0.0000, run_name
0 , Q0 , AP881231-0022 22 0.0000, run_name
0 , Q0 , AP881231-0023 23 0.0000, run_name
0 , Q0 , AP881231-0024 24 0.0000, run_name
0 , Q0 , AP881231-0025 25 0.0000, run_name
0 , Q0 , AP881231-0026 26 0.0000, run_name
0 , Q0 , AP881231-0027 27 0.0000, run_name
0 , Q0 , AP881231-0028 28 0.0000, run_name
0 , Q0 , AP881231-0029 29 0.0000, run_name
0 , Q0 , AP881231-0030 30 0.0000, run_name
0 , Q0 , AP881231-0031 31 0.0000, run_name
0 , Q0 , AP881231-0032 32 0.0000, run_name
0 , Q0 , AP881231-0033 33 0.0000, run_name
0 , Q0 , AP881231-0034 34 0.0000, run_name
0 , Q0 , AP881231-0035 35 0.0000, run_name
0 , Q0 , AP881231-0036 36 0.0000, run_name
0 , Q0 , AP881231-0037 37 0.0000, run_name
0 , Q0 , AP881231-0038 38 0.0000, run_name
0 , Q0 , AP881231-0039 39 0.0000, run_name
